dx,dy,action
26,88,DOWN
26,83,DOWN
26,78,DOWN
26,73,DOWN
26,68,DOWN
26,63,DOWN
26,58,DOWN
26,53,DOWN
26,48,DOWN
26,43,DOWN
26,38,DOWN
26,33,RIGHT
21,33,RIGHT
16,33,RIGHT
11,33,RIGHT
6,33,RIGHT
1,33,RIGHT
-4,33,RIGHT
-9,33,RIGHT
-14,33,RIGHT
-19,33,RIGHT
-24,33,RIGHT
-29,33,RIGHT
-34,33,RIGHT
-39,33,RIGHT
-44,33,RIGHT
-49,33,RIGHT
-54,33,RIGHT
-59,33,RIGHT
-64,33,RIGHT
-69,33,RIGHT
-74,33,RIGHT
-79,33,DOWN
-84,28,DOWN
-89,23,DOWN
-89,18,DOWN
-89,13,DOWN
-89,8,DOWN
-89,3,DOWN
-89,-2,DOWN
-89,-7,DOWN
-89,-12,DOWN
-89,-17,DOWN
-89,-22,DOWN
-84,-27,DOWN
-79,-32,DOWN
-74,-37,LEFT
-69,-37,LEFT
-64,-37,LEFT
-59,-37,LEFT
-54,-37,LEFT
-49,-37,LEFT
-44,-37,LEFT
-39,-37,LEFT
-34,-37,LEFT
-29,-37,LEFT
-24,-37,LEFT
-19,-37,UP
-14,-32,UP
-9,-27,UP
-4,-22,UP
1,-17,UP
6,-12,UP
556,50,UP
561,55,UP
566,60,UP
566,65,UP
566,70,UP
566,75,UP
566,80,UP
566,85,UP
566,90,UP
566,95,UP
566,100,UP
566,105,RIGHT
561,105,RIGHT
556,105,RIGHT
551,105,RIGHT
546,105,RIGHT
541,105,RIGHT
536,105,RIGHT
531,105,RIGHT
526,105,RIGHT
521,105,RIGHT
516,105,RIGHT
511,105,RIGHT
506,105,RIGHT
501,105,RIGHT
496,105,RIGHT
491,105,RIGHT
486,105,RIGHT
481,105,RIGHT
476,105,RIGHT
471,105,RIGHT
466,105,RIGHT
461,105,RIGHT
456,105,RIGHT
451,105,RIGHT
446,105,RIGHT
441,105,RIGHT
436,105,RIGHT
431,105,RIGHT
426,105,RIGHT
421,105,RIGHT
416,105,RIGHT
411,105,RIGHT
406,105,RIGHT
401,105,RIGHT
396,105,RIGHT
391,105,RIGHT
386,105,RIGHT
381,105,RIGHT
376,105,RIGHT
371,105,RIGHT
366,105,RIGHT
361,105,RIGHT
356,105,RIGHT
351,105,RIGHT
346,105,RIGHT
341,105,RIGHT
336,105,RIGHT
331,105,RIGHT
326,105,RIGHT
321,105,RIGHT
316,105,RIGHT
311,105,RIGHT
306,105,RIGHT
301,105,RIGHT
296,105,RIGHT
291,105,RIGHT
286,105,RIGHT
281,105,RIGHT
276,105,RIGHT
271,105,RIGHT
266,105,RIGHT
261,105,RIGHT
256,105,RIGHT
251,105,RIGHT
246,105,RIGHT
241,105,RIGHT
236,105,RIGHT
231,105,RIGHT
226,105,RIGHT
221,105,RIGHT
216,105,RIGHT
211,105,RIGHT
206,105,RIGHT
201,105,RIGHT
196,105,RIGHT
191,105,RIGHT
186,105,RIGHT
181,105,RIGHT
176,105,RIGHT
171,105,RIGHT
166,105,RIGHT
161,105,RIGHT
156,105,RIGHT
151,105,RIGHT
146,105,RIGHT
141,105,RIGHT
136,105,RIGHT
131,105,RIGHT
126,105,RIGHT
121,105,RIGHT
116,105,RIGHT
111,105,RIGHT
106,105,RIGHT
101,105,RIGHT
96,105,RIGHT
91,105,RIGHT
86,105,RIGHT
